enrollment_id,student_id,course_id,academic_term,final_grade,attendance_pct
ENR-0039,STD-2023015,CS-499,2025/2026 Genap,A,87
ENR-0040,STD-2023016,CS-499,2025/2026 Genap,C+,82
ENR-0041,STD-2023016,CS-202,2025/2026 Genap,C+,87
ENR-0042,STD-2023017,DS-201,2025/2026 Genap,B,90
ENR-0043,STD-2023017,IS-204,2025/2026 Genap,B+,79
ENR-0044,STD-2023018,CS-499,2025/2026 Genap,B-,96
ENR-0045,STD-2023018,CS-410,2025/2026 Genap,B-,83
ENR-0046,STD-2023018,DS-201,2025/2026 Genap,C+,85
ENR-0047,STD-2023019,IS-301,2025/2026 Genap,C,100
ENR-0048,STD-2023019,CS-202,2025/2026 Genap,B+,81
ENR-0049,STD-2023020,CS-101,2025/2026 Genap,A,99
ENR-0050,STD-2023020,DS-201,2025/2026 Genap,B+,85
ENR-0051,STD-2023020,CS-499,2025/2026 Genap,A-,96
ENR-0052,STD-2023021,CS-202,2025/2026 Genap,A,79
ENR-0053,STD-2023021,CS-410,2025/2026 Genap,C+,88
ENR-0054,STD-2023021,CS-305,2025/2026 Genap,A,89
ENR-0055,STD-2023022,DS-201,2025/2026 Genap,A-,75
ENR-0056,STD-2023022,CS-410,2025/2026 Genap,C,80
ENR-0057,STD-2023023,CS-202,2025/2026 Genap,C,94
ENR-0058,STD-2023023,IS-204,2025/2026 Genap,C,83
ENR-0059,STD-2023024,CS-305,2025/2026 Genap,A-,90
ENR-0060,STD-2023024,IS-301,2025/2026 Genap,B-,81
ENR-0061,STD-2023025,CS-499,2025/2026 Genap,B,83
ENR-0062,STD-2023025,DS-201,2025/2026 Genap,A-,99
ENR-0063,STD-2023026,CS-202,2025/2026 Genap,A,93
ENR-0064,STD-2023026,IS-301,2025/2026 Genap,C+,94
ENR-0065,STD-2023027,CS-410,2025/2026 Genap,B+,96
ENR-0066,STD-2023027,IS-204,2025/2026 Genap,C,89
ENR-0067,STD-2023027,IS-301,2025/2026 Genap,C+,89
ENR-0068,STD-2023028,IS-204,2025/2026 Genap,C,100
ENR-0069,STD-2023028,CS-499,2025/2026 Genap,A-,84
ENR-0070,STD-2023028,CS-101,2025/2026 Genap,A,84
ENR-0071,STD-2023029,IS-301,2025/2026 Genap,B,96
ENR-0072,STD-2023029,DS-201,2025/2026 Genap,B-,87
ENR-0073,STD-2023030,IS-204,2025/2026 Genap,B,76
ENR-0074,STD-2023030,DS-201,2025/2026 Genap,A,99
ENR-0075,STD-2023030,CS-101,2025/2026 Genap,B-,100
ENR-0076,STD-2023031,IS-204,2025/2026 Genap,C+,85
ENR-0077,STD-2023031,CS-499,2025/2026 Genap,C,76
ENR-0078,STD-2023031,IS-301,2025/2026 Genap,B,87
ENR-0079,STD-2023032,CS-101,2025/2026 Genap,C+,97
ENR-0080,STD-2023032,IS-301,2025/2026 Genap,B-,94
ENR-0081,STD-2023033,CS-410,2025/2026 Genap,B+,82
ENR-0082,STD-2023033,CS-305,2025/2026 Genap,B-,90
ENR-0083,STD-2023034,CS-101,2025/2026 Genap,B+,85
ENR-0084,STD-2023034,IS-301,2025/2026 Genap,C,96
ENR-0085,STD-2023034,CS-202,2025/2026 Genap,C,85
ENR-0086,STD-2023035,IS-204,2025/2026 Genap,B+,88
ENR-0087,STD-2023035,DS-201,2025/2026 Genap,B+,88
ENR-0088,STD-2023036,CS-202,2025/2026 Genap,B,90
ENR-0089,STD-2023036,CS-410,2025/2026 Genap,B-,91
ENR-0090,STD-2023037,CS-101,2025/2026 Genap,C+,76
ENR-0091,STD-2023037,IS-301,2025/2026 Genap,B+,84
ENR-0092,STD-2023038,IS-301,2025/2026 Genap,C,76
ENR-0093,STD-2023038,CS-101,2025/2026 Genap,B-,90
ENR-0094,STD-2023039,CS-410,2025/2026 Genap,B-,95
ENR-0095,STD-2023039,CS-305,2025/2026 Genap,A,97
ENR-0096,STD-2023040,CS-101,2025/2026 Genap,B,76
ENR-0097,STD-2023040,CS-410,2025/2026 Genap,A,87
ENR-0098,STD-2023040,IS-301,2025/2026 Genap,A,87
ENR-0099,STD-2023041,CS-202,2025/2026 Genap,B,84
ENR-0100,STD-2023041,CS-305,2025/2026 Genap,C,97
ENR-0101,STD-2023042,CS-410,2025/2026 Genap,B,83
ENR-0102,STD-2023042,IS-204,2025/2026 Genap,B,90
ENR-0103,STD-2023042,CS-202,2025/2026 Genap,B-,96
ENR-0104,STD-2023043,DS-201,2025/2026 Genap,C,95
ENR-0105,STD-2023043,CS-202,2025/2026 Genap,A-,92
ENR-0106,STD-2023044,DS-201,2025/2026 Genap,B,80
ENR-0107,STD-2023044,IS-301,2025/2026 Genap,C+,88
ENR-0108,STD-2023045,DS-201,2025/2026 Genap,C,93
ENR-0109,STD-2023045,IS-301,2025/2026 Genap,B,98
ENR-0110,STD-2023046,CS-202,2025/2026 Genap,A,96
ENR-0111,STD-2023046,DS-201,2025/2026 Genap,C+,76
ENR-0112,STD-2023047,IS-301,2025/2026 Genap,B-,91
ENR-0113,STD-2023047,DS-201,2025/2026 Genap,B+,77
ENR-0114,STD-2023047,IS-204,2025/2026 Genap,A-,75
ENR-0115,STD-2023048,CS-305,2025/2026 Genap,C,87
ENR-0116,STD-2023048,CS-101,2025/2026 Genap,C,85
ENR-0117,STD-2023048,IS-301,2025/2026 Genap,C+,96
ENR-0118,STD-2023049,CS-410,2025/2026 Genap,C+,88
ENR-0119,STD-2023049,CS-202,2025/2026 Genap,B,81
ENR-0120,STD-2023050,IS-301,2025/2026 Genap,C+,78
ENR-0121,STD-2023050,CS-410,2025/2026 Genap,A-,83
ENR-0122,STD-2023050,IS-204,2025/2026 Genap,C+,87
