tracking_no,origin_hub_id,dest_hub_id,carrier_id,weight_kg,shipping_cost_idr,shipment_date,est_days,actual_days,delivery_status,is_delayed
EXP-20260034,HUB-MDN,HUB-SBY,CAR-03,1.2,30019,2026-02-25,2,2,Delivered,NO
EXP-20260035,HUB-DPS,HUB-MDN,CAR-02,20.3,903695,2026-02-19,1,1,Delivered,NO
EXP-20260036,HUB-SMG,HUB-SBY,CAR-05,10.6,441596,2026-02-23,3,3,Delivered,NO
EXP-20260037,HUB-SMG,HUB-SBY,CAR-03,15.8,371853,2026-02-13,2,2,Delivered,NO
EXP-20260038,HUB-MDN,HUB-JKT,CAR-05,25.8,718762,2026-02-18,3,3,Delivered,NO
EXP-20260039,HUB-MDN,HUB-SBY,CAR-04,8.4,324534,2026-02-02,1,3,Delayed,YES
EXP-20260040,HUB-MDN,HUB-JKT,CAR-05,29.9,582272,2026-02-18,2,2,Delivered,NO
EXP-20260041,HUB-BDG,HUB-JKT,CAR-04,8.2,290493,2026-02-28,1,1,Delivered,NO
EXP-20260042,HUB-DPS,HUB-BDG,CAR-05,0.6,15751,2026-02-28,4,4,Delivered,NO
EXP-20260043,HUB-SBY,HUB-JKT,CAR-04,12.0,207228,2026-02-02,2,4,Delayed,YES
EXP-20260044,HUB-SBY,HUB-JKT,CAR-04,8.6,224872,2026-02-24,3,3,Delivered,NO
EXP-20260045,HUB-BDG,HUB-JKT,CAR-04,32.7,1235340,2026-02-12,2,2,Delivered,NO
EXP-20260046,HUB-DPS,HUB-JKT,CAR-02,24.1,1063219,2026-02-13,3,5,Delayed,YES
EXP-20260047,HUB-SMG,HUB-BDG,CAR-01,17.1,591899,2026-02-17,1,3,Delayed,YES
EXP-20260048,HUB-JKT,HUB-MDN,CAR-03,14.0,624652,2026-02-23,1,2,Delayed,YES
EXP-20260049,HUB-JKT,HUB-SMG,CAR-01,30.3,1202182,2026-02-20,2,2,Delivered,NO
EXP-20260050,HUB-MDN,HUB-DPS,CAR-02,6.4,281497,2026-02-18,1,1,Delivered,NO
EXP-20260051,HUB-BDG,HUB-SBY,CAR-04,20.5,681153,2026-02-25,4,4,Delivered,NO
EXP-20260052,HUB-DPS,HUB-SMG,CAR-05,4.5,198112,2026-02-06,1,1,Delivered,NO
EXP-20260053,HUB-MDN,HUB-BDG,CAR-05,5.6,180829,2026-02-09,3,3,Delivered,NO
EXP-20260054,HUB-DPS,HUB-BDG,CAR-02,13.6,538981,2026-02-22,4,4,Delivered,NO
EXP-20260055,HUB-JKT,HUB-SBY,CAR-05,5.3,115142,2026-02-26,1,1,Delivered,NO
EXP-20260056,HUB-SMG,HUB-BDG,CAR-04,9.1,216407,2026-02-16,2,2,Delivered,NO
EXP-20260057,HUB-MDN,HUB-JKT,CAR-03,31.5,506614,2026-02-19,3,3,Delivered,NO
EXP-20260058,HUB-SMG,HUB-BDG,CAR-01,1.8,33053,2026-02-28,3,4,Delayed,YES
EXP-20260059,HUB-SMG,HUB-BDG,CAR-05,12.1,342805,2026-02-22,1,2,Delayed,YES
EXP-20260060,HUB-MDN,HUB-BDG,CAR-03,33.6,589982,2026-02-12,4,4,Delivered,NO
EXP-20260061,HUB-BDG,HUB-SMG,CAR-04,22.5,565357,2026-02-19,2,4,Delayed,YES
EXP-20260062,HUB-MDN,HUB-DPS,CAR-01,20.8,341140,2026-02-24,3,3,Delivered,NO
EXP-20260063,HUB-DPS,HUB-SBY,CAR-01,22.5,745717,2026-02-23,2,2,Delivered,NO
EXP-20260064,HUB-DPS,HUB-SMG,CAR-05,9.4,192051,2026-02-18,1,3,Delayed,YES
EXP-20260065,HUB-MDN,HUB-BDG,CAR-02,23.1,810209,2026-02-09,3,3,Delivered,NO
EXP-20260066,HUB-JKT,HUB-SBY,CAR-05,29.8,668116,2026-02-25,3,3,Delivered,NO
EXP-20260067,HUB-SBY,HUB-MDN,CAR-03,20.0,720840,2026-02-02,1,3,Delayed,YES
EXP-20260068,HUB-MDN,HUB-JKT,CAR-05,30.2,629670,2026-02-16,4,5,Delayed,YES
EXP-20260069,HUB-MDN,HUB-BDG,CAR-03,8.8,149045,2026-02-25,2,2,Delivered,NO
EXP-20260070,HUB-MDN,HUB-BDG,CAR-04,9.9,442619,2026-02-10,3,3,Delivered,NO
EXP-20260071,HUB-SBY,HUB-JKT,CAR-02,21.4,853967,2026-02-09,2,2,Delivered,NO
EXP-20260072,HUB-SMG,HUB-SBY,CAR-05,34.6,1411714,2026-02-26,4,4,Delivered,NO
EXP-20260073,HUB-SMG,HUB-SBY,CAR-04,2.6,65473,2026-02-26,2,2,Delivered,NO
EXP-20260074,HUB-BDG,HUB-SBY,CAR-03,10.7,312418,2026-02-25,1,1,Delivered,NO
EXP-20260075,HUB-BDG,HUB-JKT,CAR-01,12.5,310162,2026-02-25,2,3,Delayed,YES
EXP-20260076,HUB-SMG,HUB-MDN,CAR-05,13.7,363844,2026-02-04,4,5,Delayed,YES
EXP-20260077,HUB-BDG,HUB-DPS,CAR-05,16.4,334510,2026-02-11,1,2,Delayed,YES
EXP-20260078,HUB-DPS,HUB-MDN,CAR-05,16.4,458412,2026-02-23,2,4,Delayed,YES
EXP-20260079,HUB-SMG,HUB-BDG,CAR-01,9.3,353660,2026-02-19,2,4,Delayed,YES
EXP-20260080,HUB-SBY,HUB-DPS,CAR-01,18.2,733915,2026-02-07,2,2,Delivered,NO
